id,date,store_nbr,family,sales,onpromotion,output
148,1/1/2013,13,HOME AND KITCHEN II,0,0,0
149,1/1/2013,13,HOME APPLIANCES,0,0,0
150,1/1/2013,13,HOME CARE,0,0,0
151,1/1/2013,13,LADIESWEAR,0,0,0
152,1/1/2013,13,LAWN AND GARDEN,0,0,0
153,1/1/2013,13,LINGERIE,0,0,0
154,1/1/2013,13,"LIQUOR,WINE,BEER",0,0,0
155,1/1/2013,13,MAGAZINES,0,0,0
156,1/1/2013,13,MEATS,0,0,0
157,1/1/2013,13,PERSONAL CARE,0,0,0
158,1/1/2013,13,PET SUPPLIES,0,0,0
159,1/1/2013,13,PLAYERS AND ELECTRONICS,0,0,0
160,1/1/2013,13,POULTRY,0,0,0
161,1/1/2013,13,PREPARED FOODS,0,0,0
162,1/1/2013,13,PRODUCE,0,0,0
163,1/1/2013,13,SCHOOL AND OFFICE SUPPLIES,0,0,0
164,1/1/2013,13,SEAFOOD,0,0,0
165,1/1/2013,14,AUTOMOTIVE,0,0,0
166,1/1/2013,14,BABY CARE,0,0,0
167,1/1/2013,14,BEAUTY,0,0,0
168,1/1/2013,14,BEVERAGES,0,0,0
169,1/1/2013,14,BOOKS,0,0,0
170,1/1/2013,14,BREAD/BAKERY,0,0,0
171,1/1/2013,14,CELEBRATION,0,0,0
172,1/1/2013,14,CLEANING,0,0,0
173,1/1/2013,14,DAIRY,0,0,0
174,1/1/2013,14,DELI,0,0,0
175,1/1/2013,14,EGGS,0,0,0
176,1/1/2013,14,FROZEN FOODS,0,0,0
177,1/1/2013,14,GROCERY I,0,0,0
178,1/1/2013,14,GROCERY II,0,0,0
179,1/1/2013,14,HARDWARE,0,0,0
180,1/1/2013,14,HOME AND KITCHEN I,0,0,0
181,1/1/2013,14,HOME AND KITCHEN II,0,0,0
182,1/1/2013,14,HOME APPLIANCES,0,0,0
183,1/1/2013,14,HOME CARE,0,0,0
184,1/1/2013,14,LADIESWEAR,0,0,0
185,1/1/2013,14,LAWN AND GARDEN,0,0,1
186,1/1/2013,14,LINGERIE,0,0,1
187,1/1/2013,14,"LIQUOR,WINE,BEER",0,0,1
188,1/1/2013,14,MAGAZINES,0,0,1
189,1/1/2013,14,MEATS,0,0,1
190,1/1/2013,14,PERSONAL CARE,0,0,1
191,1/1/2013,14,PET SUPPLIES,0,0,1
192,1/1/2013,14,PLAYERS AND ELECTRONICS,0,0,1
193,1/1/2013,14,POULTRY,0,0,1
194,1/1/2013,14,PREPARED FOODS,0,0,1
195,1/1/2013,14,PRODUCE,0,0,1
196,1/1/2013,14,SCHOOL AND OFFICE SUPPLIES,0,0,1
197,1/1/2013,14,SEAFOOD,0,0,1
198,1/1/2013,15,AUTOMOTIVE,0,0,1
199,1/1/2013,15,BABY CARE,0,0,1
200,1/1/2013,15,BEAUTY,0,0,1
201,1/1/2013,15,BEVERAGES,0,0,1
202,1/1/2013,15,BOOKS,0,0,1
203,1/1/2013,15,BREAD/BAKERY,0,0,1
204,1/1/2013,15,CELEBRATION,0,0,1
205,1/1/2013,15,CLEANING,0,0,1
206,1/1/2013,15,DAIRY,0,0,1
207,1/1/2013,15,DELI,0,0,1
208,1/1/2013,15,EGGS,0,0,1
209,1/1/2013,15,FROZEN FOODS,0,0,1
210,1/1/2013,15,GROCERY I,0,0,1
211,1/1/2013,15,GROCERY II,0,0,1
212,1/1/2013,15,HARDWARE,0,0,1
213,1/1/2013,15,HOME AND KITCHEN I,0,0,1
214,1/1/2013,15,HOME AND KITCHEN II,0,0,1
215,1/1/2013,15,HOME APPLIANCES,0,0,1
216,1/1/2013,15,HOME CARE,0,0,1
217,1/1/2013,15,LADIESWEAR,0,0,1
218,1/1/2013,15,LAWN AND GARDEN,0,0,1
219,1/1/2013,15,LINGERIE,0,0,1
220,1/1/2013,15,"LIQUOR,WINE,BEER",0,0,1
221,1/1/2013,15,MAGAZINES,0,0,1
222,1/1/2013,15,MEATS,0,0,1
223,1/1/2013,15,PERSONAL CARE,0,0,1
224,1/1/2013,15,PET SUPPLIES,0,0,1
225,1/1/2013,15,PLAYERS AND ELECTRONICS,0,0,1
226,1/1/2013,15,POULTRY,0,0,1
227,1/1/2013,15,PREPARED FOODS,0,0,1
228,1/1/2013,15,PRODUCE,0,0,1
229,1/1/2013,15,SCHOOL AND OFFICE SUPPLIES,0,0,1
230,1/1/2013,15,SEAFOOD,0,0,1
231,1/1/2013,16,AUTOMOTIVE,0,0,1
232,1/1/2013,16,BABY CARE,0,0,1
233,1/1/2013,16,BEAUTY,0,0,1
234,1/1/2013,16,BEVERAGES,0,0,1
235,1/1/2013,16,BOOKS,0,0,1
236,1/1/2013,16,BREAD/BAKERY,0,0,1
237,1/1/2013,16,CELEBRATION,0,0,1
238,1/1/2013,16,CLEANING,0,0,1
239,1/1/2013,16,DAIRY,0,0,1
240,1/1/2013,16,DELI,0,0,1
241,1/1/2013,16,EGGS,0,0,1
242,1/1/2013,16,FROZEN FOODS,0,0,1
243,1/1/2013,16,GROCERY I,0,0,1
244,1/1/2013,16,GROCERY II,0,0,1
245,1/1/2013,16,HARDWARE,0,0,1
246,1/1/2013,16,HOME AND KITCHEN I,0,0,1
247,1/1/2013,16,HOME AND KITCHEN II,0,0,1
248,1/1/2013,16,HOME APPLIANCES,0,0,1
249,1/1/2013,16,HOME CARE,0,0,1
250,1/1/2013,16,LADIESWEAR,0,0,1
251,1/1/2013,16,LAWN AND GARDEN,0,0,1
252,1/1/2013,16,LINGERIE,0,0,1
253,1/1/2013,16,"LIQUOR,WINE,BEER",0,0,1
254,1/1/2013,16,MAGAZINES,0,0,1
255,1/1/2013,16,MEATS,0,0,1
256,1/1/2013,16,PERSONAL CARE,0,0,1
257,1/1/2013,16,PET SUPPLIES,0,0,1
258,1/1/2013,16,PLAYERS AND ELECTRONICS,0,0,1
259,1/1/2013,16,POULTRY,0,0,1
260,1/1/2013,16,PREPARED FOODS,0,0,1
261,1/1/2013,16,PRODUCE,0,0,1
262,1/1/2013,16,SCHOOL AND OFFICE SUPPLIES,0,0,1
263,1/1/2013,16,SEAFOOD,0,0,1
264,1/1/2013,17,AUTOMOTIVE,0,0,1
265,1/1/2013,17,BABY CARE,0,0,1
266,1/1/2013,17,BEAUTY,0,0,1
267,1/1/2013,17,BEVERAGES,0,0,1
268,1/1/2013,17,BOOKS,0,0,1
269,1/1/2013,17,BREAD/BAKERY,0,0,1
270,1/1/2013,17,CELEBRATION,0,0,1
271,1/1/2013,17,CLEANING,0,0,1
272,1/1/2013,17,DAIRY,0,0,1
273,1/1/2013,17,DELI,0,0,1
274,1/1/2013,17,EGGS,0,0,1
275,1/1/2013,17,FROZEN FOODS,0,0,1
276,1/1/2013,17,GROCERY I,0,0,1
277,1/1/2013,17,GROCERY II,0,0,1
278,1/1/2013,17,HARDWARE,0,0,1
279,1/1/2013,17,HOME AND KITCHEN I,0,0,1
280,1/1/2013,17,HOME AND KITCHEN II,0,0,1
281,1/1/2013,17,HOME APPLIANCES,0,0,1
282,1/1/2013,17,HOME CARE,0,0,1
283,1/1/2013,17,LADIESWEAR,0,0,1
284,1/1/2013,17,LAWN AND GARDEN,0,0,1
285,1/1/2013,17,LINGERIE,0,0,1
286,1/1/2013,17,"LIQUOR,WINE,BEER",0,0,1
287,1/1/2013,17,MAGAZINES,0,0,1
288,1/1/2013,17,MEATS,0,0,1
289,1/1/2013,17,PERSONAL CARE,0,0,1
290,1/1/2013,17,PET SUPPLIES,0,0,1
291,1/1/2013,17,PLAYERS AND ELECTRONICS,0,0,1
292,1/1/2013,17,POULTRY,0,0,1
293,1/1/2013,17,PREPARED FOODS,0,0,1
294,1/1/2013,17,PRODUCE,0,0,1
295,1/1/2013,17,SCHOOL AND OFFICE SUPPLIES,0,0,1
296,1/1/2013,17,SEAFOOD,0,0,1
297,1/1/2013,18,AUTOMOTIVE,0,0,1
298,1/1/2013,18,BABY CARE,0,0,1
299,1/1/2013,18,BEAUTY,0,0,1
300,1/1/2013,18,BEVERAGES,0,0,1
301,1/1/2013,18,BOOKS,0,0,1
302,1/1/2013,18,BREAD/BAKERY,0,0,1
303,1/1/2013,18,CELEBRATION,0,0,1
304,1/1/2013,18,CLEANING,0,0,1
305,1/1/2013,18,DAIRY,0,0,1
306,1/1/2013,18,DELI,0,0,1
307,1/1/2013,18,EGGS,0,0,1
308,1/1/2013,18,FROZEN FOODS,0,0,1
309,1/1/2013,18,GROCERY I,0,0,1
310,1/1/2013,18,GROCERY II,0,0,1
311,1/1/2013,18,HARDWARE,0,0,1
312,1/1/2013,18,HOME AND KITCHEN I,0,0,1
313,1/1/2013,18,HOME AND KITCHEN II,0,0,1
314,1/1/2013,18,HOME APPLIANCES,0,0,1
315,1/1/2013,18,HOME CARE,0,0,1
316,1/1/2013,18,LADIESWEAR,0,0,1
317,1/1/2013,18,LAWN AND GARDEN,0,0,1
318,1/1/2013,18,LINGERIE,0,0,1
319,1/1/2013,18,"LIQUOR,WINE,BEER",0,0,1
320,1/1/2013,18,MAGAZINES,0,0,1
321,1/1/2013,18,MEATS,0,0,1
322,1/1/2013,18,PERSONAL CARE,0,0,1
323,1/1/2013,18,PET SUPPLIES,0,0,1
324,1/1/2013,18,PLAYERS AND ELECTRONICS,0,0,1
325,1/1/2013,18,POULTRY,0,0,1
326,1/1/2013,18,PREPARED FOODS,0,0,1
327,1/1/2013,18,PRODUCE,0,0,1
328,1/1/2013,18,SCHOOL AND OFFICE SUPPLIES,0,0,1
329,1/1/2013,18,SEAFOOD,0,0,1
330,1/1/2013,19,AUTOMOTIVE,0,0,1
331,1/1/2013,19,BABY CARE,0,0,1
332,1/1/2013,19,BEAUTY,0,0,1
333,1/1/2013,19,BEVERAGES,0,0,1
334,1/1/2013,19,BOOKS,0,0,1
335,1/1/2013,19,BREAD/BAKERY,0,0,1
336,1/1/2013,19,CELEBRATION,0,0,1
337,1/1/2013,19,CLEANING,0,0,1
338,1/1/2013,19,DAIRY,0,0,1
339,1/1/2013,19,DELI,0,0,1
340,1/1/2013,19,EGGS,0,0,1
341,1/1/2013,19,FROZEN FOODS,0,0,1
342,1/1/2013,19,GROCERY I,0,0,1
343,1/1/2013,19,GROCERY II,0,0,1
344,1/1/2013,19,HARDWARE,0,0,1
345,1/1/2013,19,HOME AND KITCHEN I,0,0,1
346,1/1/2013,19,HOME AND KITCHEN II,0,0,1
347,1/1/2013,19,HOME APPLIANCES,0,0,1
348,1/1/2013,19,HOME CARE,0,0,1
349,1/1/2013,19,LADIESWEAR,0,0,1
350,1/1/2013,19,LAWN AND GARDEN,0,0,1
351,1/1/2013,19,LINGERIE,0,0,1
352,1/1/2013,19,"LIQUOR,WINE,BEER",0,0,1
353,1/1/2013,19,MAGAZINES,0,0,1
354,1/1/2013,19,MEATS,0,0,1
355,1/1/2013,19,PERSONAL CARE,0,0,1
356,1/1/2013,19,PET SUPPLIES,0,0,1
357,1/1/2013,19,PLAYERS AND ELECTRONICS,0,0,1
358,1/1/2013,19,POULTRY,0,0,1
359,1/1/2013,19,PREPARED FOODS,0,0,1
360,1/1/2013,19,PRODUCE,0,0,1
361,1/1/2013,19,SCHOOL AND OFFICE SUPPLIES,0,0,1
362,1/1/2013,19,SEAFOOD,0,0,1
363,1/1/2013,2,AUTOMOTIVE,0,0,1
364,1/1/2013,2,BABY CARE,0,0,1
365,1/1/2013,2,BEAUTY,0,0,1
366,1/1/2013,2,BEVERAGES,0,0,1
367,1/1/2013,2,BOOKS,0,0,1
368,1/1/2013,2,BREAD/BAKERY,0,0,1
369,1/1/2013,2,CELEBRATION,0,0,1
370,1/1/2013,2,CLEANING,0,0,1
371,1/1/2013,2,DAIRY,0,0,1
372,1/1/2013,2,DELI,0,0,1
373,1/1/2013,2,EGGS,0,0,1
374,1/1/2013,2,FROZEN FOODS,0,0,1
375,1/1/2013,2,GROCERY I,0,0,1
376,1/1/2013,2,GROCERY II,0,0,1
377,1/1/2013,2,HARDWARE,0,0,1
378,1/1/2013,2,HOME AND KITCHEN I,0,0,1
379,1/1/2013,2,HOME AND KITCHEN II,0,0,1
380,1/1/2013,2,HOME APPLIANCES,0,0,1
381,1/1/2013,2,HOME CARE,0,0,1
382,1/1/2013,2,LADIESWEAR,0,0,1
383,1/1/2013,2,LAWN AND GARDEN,0,0,1
384,1/1/2013,2,LINGERIE,0,0,1
385,1/1/2013,2,"LIQUOR,WINE,BEER",0,0,1
386,1/1/2013,2,MAGAZINES,0,0,1
387,1/1/2013,2,MEATS,0,0,1
388,1/1/2013,2,PERSONAL CARE,0,0,1
389,1/1/2013,2,PET SUPPLIES,0,0,1
390,1/1/2013,2,PLAYERS AND ELECTRONICS,0,0,1
391,1/1/2013,2,POULTRY,0,0,1
392,1/1/2013,2,PREPARED FOODS,0,0,1
393,1/1/2013,2,PRODUCE,0,0,1
394,1/1/2013,2,SCHOOL AND OFFICE SUPPLIES,0,0,1
395,1/1/2013,2,SEAFOOD,0,0,1
396,1/1/2013,20,AUTOMOTIVE,0,0,1
397,1/1/2013,20,BABY CARE,0,0,1
398,1/1/2013,20,BEAUTY,0,0,1
399,1/1/2013,20,BEVERAGES,0,0,1
400,1/1/2013,20,BOOKS,0,0,1
401,1/1/2013,20,BREAD/BAKERY,0,0,1
402,1/1/2013,20,CELEBRATION,0,0,1
403,1/1/2013,20,CLEANING,0,0,1
404,1/1/2013,20,DAIRY,0,0,1
405,1/1/2013,20,DELI,0,0,1
406,1/1/2013,20,EGGS,0,0,1
407,1/1/2013,20,FROZEN FOODS,0,0,1
408,1/1/2013,20,GROCERY I,0,0,1
409,1/1/2013,20,GROCERY II,0,0,1
410,1/1/2013,20,HARDWARE,0,0,1
411,1/1/2013,20,HOME AND KITCHEN I,0,0,1
412,1/1/2013,20,HOME AND KITCHEN II,0,0,1
413,1/1/2013,20,HOME APPLIANCES,0,0,1
414,1/1/2013,20,HOME CARE,0,0,1
415,1/1/2013,20,LADIESWEAR,0,0,1
416,1/1/2013,20,LAWN AND GARDEN,0,0,1
417,1/1/2013,20,LINGERIE,0,0,1
418,1/1/2013,20,"LIQUOR,WINE,BEER",0,0,1
419,1/1/2013,20,MAGAZINES,0,0,1
420,1/1/2013,20,MEATS,0,0,1
421,1/1/2013,20,PERSONAL CARE,0,0,1
422,1/1/2013,20,PET SUPPLIES,0,0,1
423,1/1/2013,20,PLAYERS AND ELECTRONICS,0,0,1
424,1/1/2013,20,POULTRY,0,0,1
425,1/1/2013,20,PREPARED FOODS,0,0,1
426,1/1/2013,20,PRODUCE,0,0,1
427,1/1/2013,20,SCHOOL AND OFFICE SUPPLIES,0,0,1
428,1/1/2013,20,SEAFOOD,0,0,1
429,1/1/2013,21,AUTOMOTIVE,0,0,1
430,1/1/2013,21,BABY CARE,0,0,1
431,1/1/2013,21,BEAUTY,0,0,1
432,1/1/2013,21,BEVERAGES,0,0,1
433,1/1/2013,21,BOOKS,0,0,1
434,1/1/2013,21,BREAD/BAKERY,0,0,1
435,1/1/2013,21,CELEBRATION,0,0,1
436,1/1/2013,21,CLEANING,0,0,1
437,1/1/2013,21,DAIRY,0,0,1
438,1/1/2013,21,DELI,0,0,1
439,1/1/2013,21,EGGS,0,0,1
440,1/1/2013,21,FROZEN FOODS,0,0,1
441,1/1/2013,21,GROCERY I,0,0,1
442,1/1/2013,21,GROCERY II,0,0,1
443,1/1/2013,21,HARDWARE,0,0,1
444,1/1/2013,21,HOME AND KITCHEN I,0,0,1
445,1/1/2013,21,HOME AND KITCHEN II,0,0,1
446,1/1/2013,21,HOME APPLIANCES,0,0,1
447,1/1/2013,21,HOME CARE,0,0,1
448,1/1/2013,21,LADIESWEAR,0,0,1
449,1/1/2013,21,LAWN AND GARDEN,0,0,1
450,1/1/2013,21,LINGERIE,0,0,1
451,1/1/2013,21,"LIQUOR,WINE,BEER",0,0,1
452,1/1/2013,21,MAGAZINES,0,0,1
453,1/1/2013,21,MEATS,0,0,1
454,1/1/2013,21,PERSONAL CARE,0,0,1
455,1/1/2013,21,PET SUPPLIES,0,0,1
456,1/1/2013,21,PLAYERS AND ELECTRONICS,0,0,1
457,1/1/2013,21,POULTRY,0,0,1
458,1/1/2013,21,PREPARED FOODS,0,0,1
459,1/1/2013,21,PRODUCE,0,0,1
460,1/1/2013,21,SCHOOL AND OFFICE SUPPLIES,0,0,1
461,1/1/2013,21,SEAFOOD,0,0,1
462,1/1/2013,22,AUTOMOTIVE,0,0,1
463,1/1/2013,22,BABY CARE,0,0,1
464,1/1/2013,22,BEAUTY,0,0,1
465,1/1/2013,22,BEVERAGES,0,0,1
466,1/1/2013,22,BOOKS,0,0,1
467,1/1/2013,22,BREAD/BAKERY,0,0,1
468,1/1/2013,22,CELEBRATION,0,0,1
469,1/1/2013,22,CLEANING,0,0,1
470,1/1/2013,22,DAIRY,0,0,1
471,1/1/2013,22,DELI,0,0,1
472,1/1/2013,22,EGGS,0,0,1
473,1/1/2013,22,FROZEN FOODS,0,0,1
474,1/1/2013,22,GROCERY I,0,0,1
475,1/1/2013,22,GROCERY II,0,0,1
476,1/1/2013,22,HARDWARE,0,0,1
477,1/1/2013,22,HOME AND KITCHEN I,0,0,1
478,1/1/2013,22,HOME AND KITCHEN II,0,0,1
479,1/1/2013,22,HOME APPLIANCES,0,0,1
480,1/1/2013,22,HOME CARE,0,0,1
481,1/1/2013,22,LADIESWEAR,0,0,1
482,1/1/2013,22,LAWN AND GARDEN,0,0,1
483,1/1/2013,22,LINGERIE,0,0,1
484,1/1/2013,22,"LIQUOR,WINE,BEER",0,0,1
485,1/1/2013,22,MAGAZINES,0,0,1
486,1/1/2013,22,MEATS,0,0,1
487,1/1/2013,22,PERSONAL CARE,0,0,1
488,1/1/2013,22,PET SUPPLIES,0,0,1
489,1/1/2013,22,PLAYERS AND ELECTRONICS,0,0,1
490,1/1/2013,22,POULTRY,0,0,1
491,1/1/2013,22,PREPARED FOODS,0,0,1
492,1/1/2013,22,PRODUCE,0,0,1
493,1/1/2013,22,SCHOOL AND OFFICE SUPPLIES,0,0,1
494,1/1/2013,22,SEAFOOD,0,0,1
495,1/1/2013,23,AUTOMOTIVE,0,0,1
496,1/1/2013,23,BABY CARE,0,0,1
497,1/1/2013,23,BEAUTY,0,0,1
498,1/1/2013,23,BEVERAGES,0,0,1
499,1/1/2013,23,BOOKS,0,0,1
500,1/1/2013,23,BREAD/BAKERY,0,0,1
501,1/1/2013,23,CELEBRATION,0,0,1
502,1/1/2013,23,CLEANING,0,0,1
503,1/1/2013,23,DAIRY,0,0,1
504,1/1/2013,23,DELI,0,0,1
505,1/1/2013,23,EGGS,0,0,1
506,1/1/2013,23,FROZEN FOODS,0,0,1
507,1/1/2013,23,GROCERY I,0,0,1
508,1/1/2013,23,GROCERY II,0,0,1
509,1/1/2013,23,HARDWARE,0,0,1
510,1/1/2013,23,HOME AND KITCHEN I,0,0,1
511,1/1/2013,23,HOME AND KITCHEN II,0,0,1
512,1/1/2013,23,HOME APPLIANCES,0,0,1
513,1/1/2013,23,HOME CARE,0,0,1
514,1/1/2013,23,LADIESWEAR,0,0,1
515,1/1/2013,23,LAWN AND GARDEN,0,0,1
516,1/1/2013,23,LINGERIE,0,0,1
517,1/1/2013,23,"LIQUOR,WINE,BEER",0,0,1
518,1/1/2013,23,MAGAZINES,0,0,1
519,1/1/2013,23,MEATS,0,0,1
520,1/1/2013,23,PERSONAL CARE,0,0,1
521,1/1/2013,23,PET SUPPLIES,0,0,1
522,1/1/2013,23,PLAYERS AND ELECTRONICS,0,0,1
523,1/1/2013,23,POULTRY,0,0,1
524,1/1/2013,23,PREPARED FOODS,0,0,1
525,1/1/2013,23,PRODUCE,0,0,1
526,1/1/2013,23,SCHOOL AND OFFICE SUPPLIES,0,0,1
527,1/1/2013,23,SEAFOOD,0,0,1
528,1/1/2013,24,AUTOMOTIVE,0,0,1
529,1/1/2013,24,BABY CARE,0,0,1
530,1/1/2013,24,BEAUTY,0,0,1
531,1/1/2013,24,BEVERAGES,0,0,1
532,1/1/2013,24,BOOKS,0,0,1
533,1/1/2013,24,BREAD/BAKERY,0,0,1
534,1/1/2013,24,CELEBRATION,0,0,1
