student_id,gender,age,parental_education,family_income,internet_access,study_environment,study_hours_per_day,attendance_rate,sleep_hours,social_media_hours,assignment_completion_rate,participation_score,online_courses_completed,tutoring,previous_gpa,pass_fail
S00017,Female,17,High School,Medium,Yes,Moderate,4.25,89.1,8.03,2.2,96.8,69.6,4,No,1.89,Fail
S00018,Female,17,High School,High,Yes,Quiet,2.26,99.5,6.3,2.3,70.3,97.4,5,No,2.11,Fail
S00019,Female,18,High School,Medium,Yes,Quiet,1.09,67.9,7.63,1.1,91.8,81.9,1,Yes,3.01,Pass
S00020,Male,17,High School,Low,Yes,Noisy,4.13,84.4,9.17,2.3,90.1,59.1,4,Yes,2.31,Pass
S00021,Female,16,High School,Medium,No,Quiet,4.59,84.0,7.79,3.1,100.0,60.2,3,No,2.78,Pass
S00022,Male,15,High School,Medium,Yes,Noisy,2.01,82.8,6.58,3.6,100.0,89.6,2,No,1.36,Fail
S00023,Female,17,Master,Medium,Yes,Moderate,5.35,90.0,6.26,2.7,88.7,80.0,4,Yes,2.09,Pass
S00024,Female,15,High School,Medium,Yes,Moderate,3.7,87.1,6.69,3.5,78.2,59.2,1,Yes,2.36,Pass
S00025,Female,15,Bachelor,Medium,Yes,Quiet,3.52,93.2,5.97,2.5,55.8,64.6,0,No,1.83,Pass
S00026,Female,15,High School,Medium,Yes,Moderate,2.38,73.2,5.86,0.0,94.6,69.0,1,No,1.68,Fail
S00027,Female,17,Master,Low,Yes,Quiet,4.22,100.0,6.2,2.3,97.0,82.3,0,No,2.59,Pass
S00028,Female,17,Master,Low,Yes,Quiet,1.17,81.1,7.53,0.7,76.1,66.7,2,No,1.76,Fail
S00029,Female,15,Bachelor,Low,Yes,Noisy,2.59,87.9,6.48,2.7,85.3,89.7,0,Yes,2.4,Pass
S00030,Female,16,Bachelor,Low,Yes,Quiet,2.12,82.9,6.77,2.2,64.6,75.4,4,No,2.22,Fail
S00031,Male,15,High School,Medium,Yes,Moderate,1.43,85.8,7.47,2.2,71.0,90.4,1,Yes,2.04,Fail
S00032,Male,16,PhD,Low,Yes,Noisy,4.04,79.7,7.73,1.2,60.2,52.8,0,No,2.64,Pass
S00033,Female,15,Master,Medium,No,Quiet,3.41,87.1,5.07,1.9,84.0,92.5,2,No,2.35,Pass
S00034,Female,18,Master,Medium,Yes,Moderate,3.97,90.8,5.28,3.0,74.0,87.5,2,No,2.07,Fail
S00035,Female,15,Bachelor,Low,No,Moderate,2.67,61.0,6.61,1.1,98.7,71.1,0,No,1.78,Fail
S00036,Male,15,High School,High,Yes,Moderate,4.18,81.7,5.89,1.6,83.5,62.1,1,No,2.21,Pass
S00037,Female,17,Master,Medium,No,Noisy,3.09,81.3,7.85,0.0,85.3,89.5,2,No,1.76,Pass
S00038,Male,16,High School,Low,Yes,Noisy,2.43,100.0,6.54,2.9,80.2,63.1,2,No,1.46,Fail
S00039,Male,18,Bachelor,High,Yes,Moderate,2.23,93.6,8.8,0.6,100.0,69.9,1,Yes,1.82,Pass
S00040,Male,16,High School,Low,Yes,Moderate,0.62,100.0,6.51,2.5,100.0,77.6,2,No,1.92,Fail
S00041,Male,18,Master,Low,Yes,Moderate,4.4,90.6,7.31,3.6,77.4,53.0,2,Yes,2.08,Fail
S00042,Male,15,High School,Medium,Yes,Moderate,4.26,85.8,6.33,4.4,84.5,67.3,3,No,2.35,Pass
S00043,Female,17,High School,Medium,Yes,Moderate,6.51,88.6,7.49,2.0,100.0,56.2,2,No,2.96,Pass
S00044,Female,17,Bachelor,Low,Yes,Quiet,2.6,96.2,7.51,3.4,62.4,46.7,2,No,1.47,Fail
S00045,Female,16,Master,Low,Yes,Quiet,2.2,100.0,7.89,2.5,84.5,100.0,3,No,2.42,Pass
S00046,Female,17,Bachelor,High,Yes,Noisy,0.96,88.0,6.87,0.0,74.7,60.2,0,No,1.24,Fail
S00047,Female,16,High School,Medium,Yes,Quiet,4.15,78.8,8.27,0.3,100.0,79.4,0,Yes,2.4,Pass
S00048,Male,16,High School,Low,Yes,Moderate,3.88,94.2,7.3,3.8,88.0,100.0,1,Yes,2.29,Pass
S00049,Female,18,Master,Medium,Yes,Noisy,4.86,76.5,6.36,4.2,53.9,60.5,1,No,2.0,Fail
S00050,Female,16,PhD,High,No,Quiet,1.9,88.9,6.36,0.0,73.8,51.1,4,Yes,1.69,Fail
S00051,Male,18,Master,Low,Yes,Moderate,3.86,91.8,7.73,3.0,100.0,96.4,3,No,2.72,Pass
S00052,Female,17,Bachelor,Medium,No,Quiet,2.37,83.9,8.26,2.9,93.4,56.0,1,No,1.2,Fail
S00053,Male,16,Master,Medium,Yes,Noisy,4.61,76.0,5.88,1.3,64.4,63.8,0,No,2.42,Pass
S00054,Female,16,Bachelor,Medium,No,Quiet,3.64,80.5,7.75,1.3,65.3,61.4,4,No,1.46,Fail
S00055,Male,15,Bachelor,Medium,Yes,Moderate,1.13,81.8,5.51,0.9,81.2,72.3,3,No,0.93,Fail
S00056,Female,16,Bachelor,High,Yes,Moderate,2.84,74.5,6.38,0.0,79.2,42.7,2,No,2.67,Fail
S00057,Female,16,Bachelor,Low,Yes,Moderate,0.66,81.1,7.49,0.9,76.1,79.3,3,No,1.68,Fail
S00058,Male,15,Master,Low,Yes,Quiet,1.6,70.5,6.15,3.5,74.0,77.0,1,No,1.61,Fail
S00059,Male,15,Bachelor,High,Yes,Moderate,1.68,90.9,8.47,2.0,71.2,83.0,1,No,1.68,Fail
S00060,Male,17,High School,Medium,Yes,Quiet,2.23,88.3,7.61,3.6,100.0,82.7,4,No,1.76,Fail
S00061,Male,16,High School,Medium,Yes,Quiet,2.68,87.7,5.82,0.0,74.5,76.8,2,No,2.81,Pass
S00062,Male,17,High School,Medium,Yes,Moderate,3.2,81.1,7.66,3.2,70.1,65.4,3,Yes,1.58,Fail
S00063,Male,17,Bachelor,Medium,Yes,Quiet,3.14,82.5,5.68,3.7,87.6,70.9,5,Yes,2.6,Pass
S00064,Male,15,High School,Medium,Yes,Moderate,2.97,76.7,7.0,0.0,78.5,60.2,1,No,1.87,Fail
S00065,Male,18,High School,High,Yes,Noisy,3.4,90.1,7.88,1.7,66.2,72.9,1,No,2.13,Fail
S00066,Female,17,Bachelor,Medium,Yes,Noisy,1.5,71.4,7.71,3.0,76.2,58.1,2,No,0.58,Fail
S00067,Female,18,Bachelor,Low,Yes,Moderate,3.09,85.8,6.91,4.5,79.1,72.1,4,No,1.89,Fail
S00068,Male,16,Master,Medium,Yes,Quiet,4.72,78.7,6.66,0.4,86.5,63.4,3,No,3.06,Pass
S00069,Female,15,Bachelor,Medium,Yes,Moderate,2.8,100.0,5.84,4.6,84.7,57.7,1,No,1.28,Fail
S00070,Female,16,Master,Medium,No,Noisy,3.59,90.3,7.18,3.2,64.8,85.8,2,No,2.32,Pass
S00071,Female,16,Master,Medium,Yes,Noisy,3.48,85.0,7.8,1.0,89.1,81.9,0,No,2.66,Pass
S00072,Female,15,Master,Low,Yes,Moderate,4.03,73.9,9.06,4.0,93.4,70.9,3,No,2.76,Pass
S00073,Male,16,Bachelor,Medium,Yes,Noisy,3.34,71.4,6.54,6.0,63.9,43.9,2,No,2.45,Pass
S00074,Female,15,High School,Medium,Yes,Noisy,4.01,90.0,7.85,2.0,68.3,56.8,3,Yes,2.56,Pass
S00075,Male,18,PhD,Medium,Yes,Noisy,3.61,100.0,7.76,1.9,77.4,68.8,0,No,1.38,Fail
S00076,Female,16,High School,Medium,Yes,Moderate,3.79,89.1,6.52,1.1,83.3,77.1,1,Yes,3.19,Pass
S00077,Female,15,High School,Low,Yes,Noisy,3.53,86.8,7.72,5.3,83.9,77.3,1,No,2.05,Pass
S00078,Female,17,Bachelor,Medium,Yes,Noisy,1.79,86.9,6.18,1.4,79.4,73.5,1,No,1.36,Fail
S00079,Male,16,High School,Medium,Yes,Quiet,1.6,86.0,7.26,1.0,58.5,70.5,4,No,1.22,Fail
S00080,Female,18,PhD,Medium,Yes,Noisy,2.58,87.0,6.79,1.6,95.2,66.8,0,No,3.33,Pass
S00081,Male,15,Bachelor,Medium,Yes,Quiet,4.86,78.1,7.44,1.6,65.1,60.6,3,Yes,2.42,Pass
S00082,Female,16,Bachelor,Medium,No,Moderate,2.79,75.3,7.52,1.6,100.0,94.8,2,No,2.4,Pass
S00083,Male,16,Bachelor,Low,Yes,Moderate,3.37,86.1,6.47,1.3,97.5,85.5,2,No,1.97,Pass
S00084,Female,16,Bachelor,Medium,Yes,Moderate,0.64,99.9,6.99,1.4,63.3,78.7,3,No,0.54,Fail
S00085,Male,18,High School,Low,Yes,Noisy,3.23,92.8,6.87,2.7,85.3,53.0,5,Yes,2.36,Fail
S00086,Male,15,Bachelor,Medium,Yes,Moderate,3.1,72.7,5.91,4.5,100.0,52.3,2,No,2.37,Pass
S00087,Female,17,Bachelor,Low,Yes,Quiet,0.5,82.4,6.63,1.0,88.8,69.5,4,No,1.39,Fail
S00088,Male,17,Bachelor,Low,Yes,Quiet,3.35,92.3,6.42,0.5,54.5,62.3,2,No,1.33,Fail
S00089,Female,17,Master,Medium,No,Moderate,1.02,100.0,5.87,3.0,79.4,52.9,1,Yes,1.88,Pass
S00090,Female,15,High School,Medium,Yes,Moderate,2.13,100.0,6.2,3.3,92.5,71.6,2,No,1.58,Fail
S00091,Female,17,High School,Medium,Yes,Quiet,4.19,82.9,6.74,4.8,100.0,41.7,3,No,2.4,Fail
S00092,Female,18,High School,Medium,Yes,Moderate,3.19,93.2,7.06,4.6,78.0,68.6,4,No,1.53,Fail
S00093,Female,15,High School,Medium,Yes,Quiet,2.46,87.5,5.76,0.1,55.0,77.6,2,No,1.98,Fail
S00094,Female,16,Master,Medium,Yes,Moderate,2.36,83.8,8.2,0.0,100.0,77.2,0,No,2.05,Pass
S00095,Female,18,Master,Medium,No,Quiet,2.5,85.6,7.61,3.3,78.2,42.9,3,No,2.38,Fail
S00096,Female,16,High School,Medium,No,Moderate,3.19,85.7,6.91,3.3,100.0,42.2,1,No,1.88,Fail
S00097,Female,17,Bachelor,Medium,Yes,Quiet,1.56,96.8,5.78,4.7,76.1,66.8,1,No,1.43,Fail
S00098,Female,18,Bachelor,Medium,Yes,Quiet,4.35,71.0,6.79,3.1,88.2,60.5,6,No,2.24,Fail
S00099,Female,15,High School,High,Yes,Noisy,1.62,89.7,6.73,1.7,69.7,51.7,3,No,1.12,Fail
S00100,Male,18,High School,Low,Yes,Moderate,0.93,100.0,5.92,4.1,70.0,37.7,2,No,1.57,Fail
S00101,Male,16,PhD,High,Yes,Moderate,4.19,99.3,5.84,0.9,100.0,56.8,5,Yes,2.62,Pass
S00102,Female,15,Bachelor,Low,Yes,Moderate,2.48,90.7,7.77,5.5,94.1,68.5,3,Yes,1.16,Fail
S00103,Female,18,PhD,Medium,Yes,Moderate,3.08,77.4,6.68,2.9,79.6,66.5,0,Yes,2.59,Pass
S00104,Female,18,High School,Low,Yes,Moderate,3.79,92.8,7.89,1.4,94.0,52.0,0,Yes,2.28,Pass
S00105,Female,18,Bachelor,Medium,Yes,Moderate,2.14,98.2,6.99,1.2,69.8,55.0,2,No,1.52,Fail
S00106,Female,18,High School,Low,Yes,Moderate,3.16,79.8,7.75,2.8,80.0,64.9,1,No,2.64,Pass
S00107,Female,15,High School,High,Yes,Quiet,3.78,88.6,7.72,2.4,81.5,57.6,3,Yes,1.99,Pass
S00108,Female,16,Bachelor,High,Yes,Quiet,4.97,82.9,7.47,2.3,68.6,74.8,2,Yes,3.0,Pass
S00109,Female,18,High School,Medium,Yes,Noisy,2.39,78.9,8.18,0.5,66.7,78.4,2,No,1.62,Fail
S00110,Male,15,High School,Medium,Yes,Noisy,2.44,81.8,7.1,2.3,51.7,76.8,1,Yes,1.6,Fail
S00111,Female,16,High School,High,Yes,Quiet,3.68,86.3,5.51,3.7,65.5,53.6,0,No,1.42,Fail
S00112,Male,18,High School,High,Yes,Quiet,3.25,75.8,5.66,1.4,100.0,75.0,3,Yes,2.59,Pass
S00113,Female,16,Bachelor,Medium,Yes,Quiet,2.84,74.2,6.35,2.9,53.3,75.4,2,No,0.23,Fail
S00114,Female,16,Bachelor,Medium,Yes,Moderate,4.91,76.1,7.74,4.2,79.5,92.3,3,Yes,2.6,Pass
S00115,Male,15,High School,Medium,Yes,Quiet,0.98,88.3,6.6,3.4,82.3,99.6,2,Yes,1.65,Fail
S00116,Female,16,High School,Medium,Yes,Moderate,1.29,70.3,7.21,0.7,76.3,88.6,2,No,2.19,Fail
S00117,Male,15,High School,Medium,Yes,Noisy,0.99,62.8,7.54,3.0,93.1,63.1,2,No,1.91,Fail
S00118,Female,18,Bachelor,Medium,Yes,Noisy,4.44,98.7,7.16,4.7,75.9,58.4,3,No,2.84,Pass
S00119,Female,16,High School,Low,Yes,Quiet,3.62,74.9,4.71,3.2,94.3,67.0,3,No,1.97,Pass
S00120,Male,16,Master,Medium,Yes,Noisy,1.36,83.1,5.81,4.3,88.2,61.4,2,Yes,1.17,Fail
S00121,Female,17,High School,Medium,Yes,Moderate,2.85,94.2,8.77,4.0,59.7,100.0,3,Yes,1.78,Pass
S00122,Male,18,High School,High,Yes,Quiet,2.97,70.6,7.33,0.8,97.4,84.3,3,No,2.56,Pass
S00123,Female,18,Master,High,Yes,Moderate,0.5,70.6,4.3,5.2,75.3,79.3,2,Yes,0.9,Fail
S00124,Male,17,Bachelor,Medium,Yes,Moderate,3.23,78.7,7.07,4.4,53.1,82.0,1,No,2.31,Fail
S00125,Male,17,High School,Medium,Yes,Noisy,1.59,94.6,8.8,2.1,87.1,90.6,1,No,1.76,Fail
S00126,Female,15,Master,Low,Yes,Quiet,3.85,84.8,7.27,4.4,75.7,79.3,1,No,3.38,Pass
S00127,Female,15,Bachelor,Medium,Yes,Quiet,1.62,84.9,7.04,2.3,100.0,67.1,0,Yes,1.74,Fail
S00128,Male,16,Master,Low,Yes,Moderate,3.26,82.0,5.17,2.4,96.4,81.1,2,No,1.59,Pass
S00129,Female,16,Bachelor,Low,Yes,Noisy,4.55,90.6,6.73,1.2,66.5,81.0,3,No,1.93,Pass
S00130,Female,16,Bachelor,Medium,Yes,Noisy,4.17,99.3,5.36,0.9,94.2,53.2,2,No,1.91,Pass
S00131,Female,16,PhD,Medium,Yes,Quiet,3.61,100.0,5.78,2.7,69.6,100.0,1,No,2.56,Pass
S00132,Male,15,High School,Low,Yes,Quiet,2.9,83.5,5.55,2.1,55.1,60.8,1,Yes,2.04,Fail
S00133,Male,18,Bachelor,High,No,Noisy,1.2,100.0,8.74,0.3,70.8,93.1,3,Yes,1.24,Fail
S00134,Male,16,Bachelor,Medium,Yes,Moderate,2.47,95.0,7.73,3.0,60.1,67.6,2,No,2.32,Fail
S00135,Male,18,High School,Low,No,Noisy,2.73,87.7,8.4,3.3,79.8,87.4,1,No,1.36,Fail
S00136,Male,16,High School,Low,Yes,Noisy,2.64,62.9,5.68,2.9,100.0,70.8,2,No,1.64,Fail
S00137,Male,17,High School,Low,No,Quiet,1.16,81.2,7.19,2.9,81.2,48.4,1,No,1.44,Fail
S00138,Male,16,Bachelor,Low,No,Moderate,3.52,81.6,5.99,3.1,86.9,86.0,3,No,2.86,Pass
S00139,Male,16,Bachelor,Medium,No,Quiet,1.58,88.6,6.1,2.7,65.0,92.1,1,Yes,1.73,Fail
S00140,Male,16,Bachelor,Medium,Yes,Noisy,4.86,83.0,7.47,3.0,71.9,69.9,0,No,2.67,Pass
S00141,Female,15,High School,High,Yes,Moderate,3.18,79.4,7.18,3.3,88.2,82.9,4,No,2.15,Pass
S00142,Male,17,Bachelor,Low,No,Noisy,4.18,100.0,7.29,1.6,79.0,59.6,3,No,1.6,Pass
S00143,Female,16,Master,Medium,Yes,Noisy,4.15,98.1,5.74,0.6,69.2,70.9,3,No,3.58,Pass
S00144,Female,16,High School,Medium,Yes,Quiet,5.49,64.8,7.13,3.0,95.0,86.6,1,No,2.86,Pass
S00145,Female,18,Bachelor,Medium,Yes,Quiet,3.22,82.2,7.35,2.7,82.1,75.7,0,Yes,2.21,Fail
S00146,Male,17,Master,Medium,Yes,Moderate,2.53,91.3,6.32,3.2,100.0,77.7,3,No,1.86,Fail
S00147,Male,16,Master,High,Yes,Noisy,2.56,98.3,6.73,4.2,89.9,85.4,1,No,1.68,Fail
S00148,Male,18,Bachelor,Low,Yes,Noisy,4.8,80.8,5.35,2.4,63.0,95.3,3,No,2.97,Pass
S00149,Male,18,Master,Medium,Yes,Noisy,1.42,82.8,4.84,2.3,81.7,87.0,0,No,1.49,Fail
S00150,Female,15,High School,High,Yes,Moderate,1.95,85.9,9.01,3.2,61.9,75.0,1,Yes,1.59,Fail
S00151,Male,18,Master,Low,Yes,Quiet,3.28,91.6,7.2,1.0,100.0,69.8,1,No,2.4,Pass
S00152,Male,16,High School,Low,Yes,Quiet,2.82,69.6,6.64,2.6,65.2,72.9,3,No,1.75,Fail
S00153,Male,15,High School,Low,Yes,Quiet,4.16,64.8,7.8,2.3,96.7,50.7,1,No,2.42,Pass
S00154,Male,15,High School,Medium,Yes,Moderate,1.39,97.5,6.13,3.8,94.3,74.0,2,Yes,1.85,Fail
S00155,Male,16,Master,Low,Yes,Noisy,2.92,75.1,7.11,1.8,69.8,52.8,4,No,1.58,Fail
S00156,Female,17,Bachelor,Low,Yes,Quiet,2.78,100.0,8.11,2.6,84.9,64.4,1,No,1.9,Pass
S00157,Male,18,High School,Medium,Yes,Noisy,1.71,76.4,5.9,2.3,83.8,81.3,0,Yes,0.84,Fail
S00158,Female,15,High School,Medium,Yes,Quiet,4.05,83.2,6.51,0.0,92.5,64.1,1,Yes,2.21,Pass
S00159,Male,17,Master,Low,Yes,Quiet,2.89,88.7,5.62,1.7,82.7,91.1,2,No,2.21,Pass
S00160,Female,16,Master,Medium,Yes,Moderate,2.84,63.7,7.84,2.5,70.0,69.4,2,No,1.0,Fail
S00161,Male,18,Bachelor,Medium,Yes,Moderate,2.01,100.0,7.21,1.2,88.4,88.1,3,No,2.9,Pass
S00162,Male,18,Bachelor,High,Yes,Noisy,2.56,81.1,8.17,2.3,88.5,65.9,1,Yes,2.26,Pass
S00163,Female,15,Bachelor,Medium,No,Moderate,1.77,76.6,7.84,4.5,66.0,68.4,2,No,0.84,Fail
S00164,Female,18,High School,Medium,Yes,Quiet,4.04,73.3,6.74,3.9,45.4,87.3,0,No,2.13,Pass
S00165,Female,18,Master,Medium,Yes,Noisy,4.24,88.6,7.41,0.0,88.9,67.3,1,No,1.83,Fail
S00166,Male,18,High School,Low,No,Noisy,5.02,87.9,7.42,3.6,85.6,75.6,2,Yes,2.63,Pass
S00167,Female,18,Bachelor,Medium,Yes,Moderate,3.52,73.7,7.73,3.3,86.5,63.6,4,No,2.11,Pass
S00168,Male,16,High School,High,Yes,Quiet,2.59,71.3,8.47,2.4,99.8,35.6,1,No,1.85,Fail
S00169,Male,17,Bachelor,Medium,Yes,Quiet,2.44,95.6,5.91,0.0,93.1,61.0,2,No,1.56,Fail
S00170,Female,16,Bachelor,High,Yes,Quiet,3.59,78.4,5.12,3.7,99.4,91.9,1,No,2.28,Pass
S00171,Female,16,Bachelor,High,Yes,Quiet,3.24,67.8,5.95,1.9,91.7,75.0,1,No,2.49,Pass
S00172,Male,15,High School,Low,No,Noisy,2.79,83.5,7.47,2.8,82.2,83.4,1,Yes,1.55,Fail
S00173,Male,18,Bachelor,Low,Yes,Quiet,2.69,81.0,7.41,1.0,61.6,83.9,3,No,2.3,Pass
S00174,Female,16,High School,Low,Yes,Moderate,4.41,100.0,6.43,1.4,100.0,81.7,1,No,3.87,Pass
S00175,Female,18,High School,Medium,Yes,Moderate,2.48,79.8,6.73,3.9,76.9,93.9,0,No,1.03,Fail
S00176,Female,16,High School,Low,Yes,Noisy,4.62,81.9,6.17,4.9,70.9,65.2,3,Yes,2.41,Pass
S00177,Male,16,Master,High,Yes,Quiet,3.22,87.2,6.89,1.9,89.6,92.3,6,Yes,2.44,Pass
S00178,Male,15,Bachelor,Low,Yes,Moderate,2.56,79.3,6.31,4.8,52.5,80.1,2,Yes,1.4,Fail
S00179,Male,17,Bachelor,Medium,Yes,Quiet,2.06,89.4,8.64,1.9,68.9,76.7,3,No,0.95,Fail
S00180,Male,17,Bachelor,Low,Yes,Quiet,2.81,74.8,8.32,1.8,70.6,39.2,0,Yes,1.49,Fail
S00181,Male,16,Bachelor,High,Yes,Quiet,3.6,82.6,7.72,0.4,70.1,76.0,4,No,2.18,Pass
S00182,Male,15,Bachelor,Medium,Yes,Moderate,2.55,89.1,7.03,3.2,100.0,83.8,1,No,3.21,Pass
S00183,Female,18,High School,High,Yes,Quiet,4.02,96.4,8.14,2.2,78.8,73.5,2,No,2.05,Fail
S00184,Male,18,High School,High,Yes,Moderate,2.49,79.1,7.1,2.3,70.4,88.8,3,No,2.07,Pass
S00185,Male,16,Bachelor,Medium,Yes,Quiet,2.85,79.0,7.16,1.9,79.3,89.4,2,No,2.42,Pass
S00186,Male,17,Bachelor,Low,Yes,Noisy,1.46,100.0,5.27,1.0,92.8,65.8,4,No,2.1,Fail
S00187,Female,15,Master,Low,Yes,Moderate,3.67,79.5,7.26,3.4,51.4,71.6,1,No,1.7,Fail
S00188,Male,17,Master,Low,Yes,Noisy,2.68,84.4,5.71,2.4,81.7,66.0,1,Yes,2.46,Pass
S00189,Male,18,High School,Medium,Yes,Quiet,4.89,100.0,6.6,3.7,73.2,63.7,1,No,2.0,Pass
S00190,Female,17,High School,Low,Yes,Noisy,3.85,85.7,7.17,1.1,84.0,71.5,2,No,2.52,Pass
S00191,Male,18,Bachelor,Low,Yes,Moderate,3.1,82.5,6.1,2.9,62.8,73.5,1,No,1.35,Fail
S00192,Male,15,High School,Medium,Yes,Quiet,4.47,83.3,7.48,5.7,77.3,38.6,1,No,1.49,Fail
S00193,Male,15,High School,Medium,Yes,Moderate,3.49,77.6,8.05,1.4,78.0,69.4,3,No,2.24,Pass
S00194,Male,16,Master,Medium,Yes,Moderate,4.21,89.5,6.12,1.8,60.9,76.1,2,No,2.32,Pass
S00195,Male,16,High School,Medium,Yes,Noisy,1.97,75.8,7.12,1.8,100.0,71.9,2,Yes,1.82,Fail
S00196,Female,17,Master,High,Yes,Moderate,3.55,92.8,5.75,0.9,86.2,68.9,2,No,2.08,Fail
S00197,Female,15,Bachelor,Medium,Yes,Quiet,3.6,85.2,5.83,5.0,93.8,54.8,2,No,1.88,Fail
S00198,Female,15,Master,Low,Yes,Quiet,1.15,87.4,7.31,0.0,74.7,50.4,2,No,1.31,Fail
S00199,Male,16,High School,Medium,Yes,Moderate,4.81,100.0,7.71,0.7,83.2,62.0,4,No,2.3,Pass
S00200,Male,18,High School,High,Yes,Quiet,1.61,70.5,5.49,3.2,62.0,42.8,4,No,0.91,Fail
S00201,Male,17,Bachelor,Low,No,Moderate,1.44,85.2,9.05,1.4,70.4,69.4,4,Yes,1.93,Fail
S00202,Female,17,High School,Medium,Yes,Moderate,0.5,91.4,6.5,2.5,66.5,57.4,1,Yes,1.48,Fail
S00203,Male,16,High School,Medium,No,Noisy,3.57,78.8,7.21,2.5,84.4,73.0,2,Yes,1.87,Fail
S00204,Male,15,High School,Low,Yes,Moderate,1.03,94.5,6.47,3.2,100.0,61.6,0,No,2.3,Pass
S00205,Female,16,High School,High,Yes,Moderate,2.38,79.6,6.72,2.6,93.6,40.8,2,No,1.85,Fail
S00206,Male,16,High School,Low,Yes,Quiet,4.01,87.9,8.52,1.9,100.0,55.3,3,No,2.48,Pass
S00207,Female,16,Master,Medium,Yes,Quiet,3.23,83.8,8.51,2.7,91.9,72.8,2,No,2.02,Pass
S00208,Female,16,High School,Medium,Yes,Noisy,2.25,86.6,5.35,2.2,86.3,81.7,0,Yes,2.01,Fail
S00209,Female,18,High School,Medium,Yes,Noisy,1.09,85.7,6.44,5.0,66.2,65.9,4,No,0.94,Fail
S00210,Male,18,Bachelor,Low,Yes,Moderate,2.87,84.7,9.95,1.6,84.8,73.8,0,Yes,1.76,Pass
S00211,Male,15,PhD,Low,Yes,Noisy,4.03,80.3,6.57,3.3,72.9,67.2,1,Yes,1.86,Fail
S00212,Male,16,High School,Low,Yes,Moderate,3.84,78.4,7.42,3.9,92.5,66.8,2,No,1.97,Fail
S00213,Male,18,High School,Low,Yes,Noisy,5.14,88.2,8.14,0.5,59.6,57.8,0,No,3.28,Pass
S00214,Male,15,Bachelor,Medium,Yes,Quiet,2.22,85.5,7.85,0.8,78.4,69.5,2,Yes,2.05,Fail
S00215,Male,16,Master,High,Yes,Moderate,1.42,78.1,4.18,5.4,80.3,60.8,1,No,0.99,Fail
S00216,Male,17,Master,Medium,Yes,Moderate,3.37,88.4,7.33,1.5,100.0,90.7,2,No,3.39,Pass
S00217,Female,18,Bachelor,Medium,Yes,Moderate,3.25,80.4,8.75,2.5,64.7,59.9,1,No,2.16,Pass
S00218,Male,15,High School,Medium,Yes,Quiet,2.99,100.0,7.03,2.2,97.5,72.6,2,No,2.07,Pass
S00219,Female,17,Bachelor,Medium,Yes,Moderate,2.1,100.0,5.96,2.4,92.4,54.0,2,No,1.62,Fail
S00220,Male,16,High School,High,Yes,Moderate,0.5,98.9,5.98,1.9,76.2,67.0,1,No,1.43,Fail
S00221,Male,16,Bachelor,Low,Yes,Quiet,1.79,98.3,6.8,2.7,86.1,54.8,3,No,1.78,Fail
S00222,Male,16,Bachelor,High,Yes,Moderate,3.67,93.1,7.68,1.3,76.3,61.5,1,Yes,1.99,Fail
S00223,Female,18,PhD,Medium,Yes,Moderate,3.34,82.9,9.89,2.2,80.2,84.6,2,No,2.35,Pass
