feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,label
-0.962419,-1.52894,-1.07613,-1.34969,1.08636,-1.19446,0.700481,1.46616,1.88773,1.66198,1.85688,-0.348282,-1.80652,0.388038,-0.245421,-0.888427,1.20724,-0.26134,0.785497,1.43707,1.1073,0.504342,0.336937,0.21822,0.798741,0
-0.765584,1.21669,0.939049,1.53164,1.4719,0.907886,0.535524,-0.349157,-0.445477,-1.63512,1.33475,0.238159,1.25296,0.0627985,-0.490176,-1.24632,1.05894,1.47624,0.164374,1.2886,-2.17315,-1.21084,-0.465261,-0.0210538,1.41039,2
1.14541,0.593583,1.90934,1.44576,-0.988138,1.30859,-0.568327,0.97661,-1.418,-0.36152,-1.39179,-0.476175,1.14749,-0.0724152,-0.471695,2.21571,-0.173201,1.4382,-0.834282,1.6082,0.89578,-1.05538,-0.211702,-0.9208,0.572974,3
-0.712591,-1.69994,-0.89404,-0.662643,0.27265,0.600207,-0.652498,-1.00521,-0.92202,-0.769938,1.39038,0.237082,1.12521,-0.68047,-0.27759,-0.582214,-1.43323,0.207897,-0.754166,-0.267809,-0.39332,1.09065,1.00489,-0.175341,0.311195,2
0.773797,-0.0674269,-0.341004,0.346255,0.578062,-0.531016,0.268129,0.14719,0.583151,0.274123,-0.707147,-1.20204,-1.71409,1.64561,0.500229,0.560402,-0.532172,0.410816,-0.198588,-0.387924,-0.928636,1.05862,-0.61291,0.961271,0.0546714,1
1.13658,1.29998,1.55651,-0.443351,-0.355789,1.08122,-1.29286,-0.394052,-0.78197,-0.221808,-0.572636,0.328032,0.283173,-0.622689,0.888348,0.764325,0.706446,-0.206911,-0.520394,-0.205041,-1.93292,1.20249,-0.176252,-1.21876,0.689831,0
-0.322852,0.496474,-0.267945,0.22579,0.209386,-0.263766,-0.749091,-1.1278,-1.17344,-1.06688,0.230215,0.351254,-0.0546947,-1.03756,0.559483,-0.170284,-0.76064,-1.03827,-0.0814351,-0.130455,-0.766356,0.105962,-0.895423,0.749281,-0.147387,2
1.3913,-0.109368,1.3983,0.093255,1.24411,-0.44974,-0.59994,1.82762,-0.84433,1.0873,0.63226,1.44724,-0.64585,-1.41641,1.19386,1.12342,-1.37828,0.966427,-1.63267,1.24165,0.731177,-1.58357,0.559652,1.04907,1.27893,2
-1.43286,-0.413034,-0.584094,0.561317,0.963128,1.02924,-0.178914,-0.423807,-0.636593,-1.79514,0.600252,1.08233,1.64688,-1.28027,2.38762,-1.37428,-0.356781,0.466525,-0.985509,-1.6202,-1.56829,0.065351,0.692079,-0.993362,1.27725,2
-1.60507,-0.459912,-0.374842,0.301976,-0.796741,-0.890065,-0.662594,0.606973,1.33161,-0.628038,0.948188,-0.265029,-1.33232,0.401145,-0.197719,0.636756,-0.475285,0.607022,1.17928,-1.39327,0.763274,-0.970767,0.164902,-1.46254,-1.32688,0
1.06119,0.372499,0.6063,-1.08117,0.979425,-1.15659,-0.516919,1.19846,1.28443,-1.28603,0.0810975,-0.107264,1.40029,0.137689,-0.880566,0.36055,0.633645,1.30187,1.06187,-0.628024,-0.771497,-0.64333,0.28806,-1.26767,0.813947,3
-2.31577,-0.549958,-0.178517,0.442073,1.39281,0.252517,2.09179,-0.943535,1.09144,1.10785,0.674323,-1.22637,0.198661,1.09746,0.991771,0.637823,-1.36655,1.26558,-1.36599,-1.51391,1.77499,0.203436,-1.25126,1.07988,-0.401184,2
1.22814,-0.461263,0.798379,-0.0956486,-0.385497,1.27662,-0.331442,-0.628141,0.377376,-0.450936,0.0991173,1.51939,0.397011,-0.887673,0.397534,-1.28434,0.332199,-0.348654,-0.795706,-0.971771,0.120183,-0.317425,-1.18406,-1.14112,0.85945,2
0.531482,0.680443,1.15614,0.830835,-0.587142,1.76417,-0.122304,-0.228044,-0.381399,0.668616,1.12409,0.2853,-0.211597,-0.0131461,0.268938,-0.703785,-2.10404,0.760205,1.00222,-1.53866,0.451966,-1.39223,0.223333,-0.793404,-1.36954,3
-1.34532,0.897164,2.14836,0.907725,1.19453,-0.628911,0.331939,-1.20651,1.76535,0.929118,0.868707,1.07553,-1.26646,1.04063,-1.05234,0.805236,0.472099,0.316428,-0.521338,-1.0706,0.807369,0.974618,-1.51425,-2.66681,0.370606,3
-0.628167,-0.047125,-1.16493,-0.589424,-1.99099,-0.679668,1.12862,0.327398,0.75432,-0.331519,0.409004,1.66152,0.949628,0.168059,-1.20608,0.624349,1.66186,-1.23234,-0.340494,-0.975651,-0.704686,-1.47781,1.36155,-0.239905,-1.91443,1
0.541458,0.682825,0.854695,0.0929748,-0.0993702,1.3282,1.84028,1.31198,1.50808,0.290899,-1.01959,-0.833167,-1.40729,-0.149329,-0.122095,0.744905,0.747532,-0.509928,0.608873,-1.36377,-0.567975,-1.63893,-1.63249,-0.213667,-0.839469,3
-0.1783,-1.0234,0.826504,1.91283,1.79793,0.135428,0.32343,-2.40791,-0.7713,0.781687,1.81378,2.52765,0.337743,-0.863978,0.850346,-1.57233,0.334201,0.30504,-1.02045,-0.149325,-0.25462,1.91012,0.557367,1.08234,1.7926,2
-0.157524,-0.991288,-1.47244,-0.81778,-0.676762,-0.15887,-0.558642,0.503437,-0.994806,0.438824,0.756819,-0.952745,-0.026074,0.221283,0.726798,0.527277,1.07706,-1.16506,-1.28268,1.14121,-0.787057,1.02305,0.245591,1.53978,0.216229,0
0.989305,-0.54075,-0.61124,-0.469645,-0.39408,-0.452582,-0.249258,0.393439,-0.800906,-0.495209,-0.0622673,-0.464734,1.10071,-0.919273,0.340761,-0.462882,-0.369197,0.157288,-0.835197,1.38851,0.899877,0.879882,-0.714505,0.129147,1.64309,0
-0.32342,-1.18557,-1.06727,1.62594,0.531228,-1.39098,1.03915,0.262285,0.711807,-0.332221,0.67445,0.719718,0.57053,0.8936,-0.521779,-0.631792,0.999595,-0.447404,-1.34009,-0.429035,-1.50029,0.350944,-0.579193,-0.421467,1.25494,2
-0.854805,1.64302,0.800788,1.12373,0.561848,1.12947,-1.74236,-0.343124,-0.74479,-0.289379,0.136992,-0.62782,-0.44218,0.766635,-0.239968,-0.305153,0.568262,-1.06402,0.614204,-1.29142,0.498891,0.358699,-0.744711,-0.0867716,-1.24991,1
-1.35046,-0.59181,-0.750554,0.0885235,-1.11622,-0.786187,-0.885091,0.218965,-0.0362393,-1.53805,-0.572471,-1.73697,1.18635,-0.751909,0.796515,0.800866,0.680284,1.28073,0.206817,-1.21667,0.821934,-0.0189942,1.06076,-1.80971,0.371793,3
-0.657957,-0.78662,0.577299,-0.259796,0.582905,0.553388,0.523847,1.09771,1.63403,1.2206,0.606086,-0.761681,-0.406526,0.492403,-0.477548,0.701162,1.50792,0.761137,0.435197,-0.70702,-0.0263977,-0.397187,-1.05258,0.0584577,-0.222683,3
-0.975265,0.128835,0.0234119,0.253746,-0.790522,1.16146,0.32609,0.0869827,-0.351403,1.01187,-1.4139,0.00248023,-0.811102,0.408228,-0.462347,0.895845,1.78033,-1.67706,0.543412,0.446959,0.669035,0.216755,0.876064,0.0925474,-1.46682,1
0.136146,-0.417693,-1.68184,-0.478198,-1.41228,0.528351,0.851273,0.70395,-0.795938,-0.536133,-0.809992,0.444585,0.696355,-1.31314,0.161936,-1.34929,-1.45735,-1.03522,1.11141,0.377378,-0.287817,-1.46328,0.313154,1.22765,-0.999087,3
-0.627079,-0.788849,-0.587375,-0.669853,1.67072,-1.36765,-0.136293,1.41528,1.272,0.588342,0.93856,0.547101,-1.45279,1.02497,0.990111,0.250404,0.968857,0.595909,-0.302306,0.772339,-1.82826,-0.332147,0.581104,1.10622,0.671237,0
0.631796,1.02481,1.23429,-0.450046,0.868794,-0.455601,-0.122079,0.475631,0.291372,0.19533,1.63631,0.146036,0.291221,-1.3265,0.68855,-0.369358,1.02842,1.09173,-1.59561,-0.513185,-1.2056,-0.483399,0.867167,-1.08245,1.60471,2
-1.06394,-1.02937,0.429138,0.621253,0.361286,0.876672,0.500449,-0.218916,1.10941,1.33713,0.587867,0.978844,-0.445321,-0.145504,-0.529406,-1.62995,0.857929,1.48082,-0.92598,-0.544952,0.812995,-0.514982,1.58198,-0.964098,0.569891,3
0.00752294,-0.413167,0.311851,0.849624,1.38906,-1.15969,-1.13308,1.07854,-0.383976,1.42556,-0.623466,0.0743498,1.75025,-0.538483,0.252363,-0.348214,0.875459,-0.184151,-1.00842,0.512184,-1.3738,0.386319,-0.788576,0.147514,1.55162,2
-0.284851,-0.615157,-1.01456,1.12085,-0.729488,0.38906,-1.85125,-2.41728,-2.54818,-1.06242,2.01973,-0.107018,-0.0668973,-0.586084,-0.292879,-1.5334,-0.829158,-1.24214,-0.332991,0.374076,-1.65229,-0.409518,1.43102,0.713066,-0.948781,2
0.452895,-1.32828,-1.05299,-0.451314,-1.15467,-1.13869,-0.971495,1.25579,0.845266,0.764002,-1.67122,-2.091,-0.624587,-0.671116,1.01754,-0.535991,0.763127,0.325769,0.888225,-0.61317,-0.603204,1.33747,0.798217,-2.20812,1.34651,0
0.059487,1.45726,1.21847,1.34097,1.43495,0.870027,1.39784,0.47805,0.650676,1.24087,-0.299898,-1.09128,-2.1842,0.349633,0.620617,-1.13721,-0.185755,-0.461286,-0.684101,-1.56349,0.558962,-1.94589,-0.337988,-0.505255,-0.325573,3
-1.05327,-0.678755,-1.21948,-0.141507,-1.17134,0.0235231,-0.0808615,-1.63457,-0.440374,-1.30996,0.233794,-0.310706,-0.959278,-0.588301,0.250962,-1.72058,-1.0024,0.280226,0.37444,-0.684935,0.566999,-0.623331,1.12162,-1.00963,-0.592567,2
-0.963941,0.900778,1.58796,-1.09843,0.898143,1.37615,-1.50071,-0.881248,-0.983,0.397651,-1.12479,-0.607761,-0.0653271,0.36097,1.2452,0.575054,-1.82438,1.38467,0.775222,1.01245,-1.31056,-0.180079,0.0750681,-0.599489,-0.627205,1
1.23656,1.42594,0.353703,0.330888,0.757528,0.876579,-0.802315,0.720276,-0.85223,-0.743174,-1.36203,-0.871031,-1.04527,1.50882,-0.778938,-0.258851,-0.444081,-1.31204,0.97191,-0.565229,0.95974,-0.409243,1.26232,-0.223613,-1.30556,1
0.0430885,1.68888,0.924812,0.984512,1.75777,-0.0183934,-1.98051,0.274991,0.0849011,-0.0583114,1.23416,-1.19976,-1.81489,0.93635,0.857004,-0.802923,-0.380213,-0.303865,0.944434,-1.67045,-0.186896,1.1207,-0.383571,-0.0518043,-0.164034,1
0.72852,1.02185,-1.44352,-0.275268,0.424967,-1.53193,-0.400644,-1.07811,-1.36612,0.262245,1.56589,-0.179488,-0.292646,0.569867,0.191637,-1.61001,-0.664288,-2.33419,-0.953751,-0.88557,2.03731,-0.287719,1.09008,0.617051,-0.751262,3
0.922192,-0.685381,1.57459,0.817972,-0.91132,0.857594,-1.10355,0.539974,0.485004,-0.0970906,-0.641349,0.662442,0.527671,0.827603,-0.625637,2.20661,0.810656,1.03377,0.911413,0.244355,-0.569134,-0.704584,-1.6628,-0.496979,-0.81713,3
-1.38419,0.875772,0.478728,-0.26319,0.335596,1.29317,-0.393692,1.13416,0.0873318,-1.12034,-0.0838425,-0.790799,0.996529,-1.10363,1.36328,0.361141,-1.40144,1.11213,0.244648,-0.876267,0.369774,-0.436271,-1.26349,-0.375427,0.341893,2
0.883906,-0.541009,0.848125,-2.1532,0.90561,0.354137,0.894875,-1.28268,0.0217386,-0.383497,0.238017,1.23484,-0.854513,-1.12677,0.565525,0.570572,-0.141193,0.920243,-0.259655,1.3133,-0.845132,0.964395,1.67659,0.848162,0.744324,1
-1.11329,-0.863352,-1.34521,0.76913,-1.15387,-0.541619,0.237499,-0.430472,0.593378,0.393946,-1.09404,0.887492,0.0488065,0.242571,-1.14942,-1.37664,-0.207631,-0.545546,1.52173,0.627362,0.739433,0.00176308,0.041965,0.0970157,-0.862282,2
0.519588,-2.02771,-1.5181,-0.185907,-0.843291,-0.932577,0.371303,1.27839,1.43055,0.666831,0.426125,0.485304,1.00466,0.653567,0.183434,-0.639301,1.02578,0.812671,0.31209,-0.678424,1.00718,-0.840852,-0.51401,0.629961,0.272589,2
0.937641,-0.596784,0.436746,-0.971835,-1.06711,-0.991158,0.564639,-0.332031,1.00328,-1.44364,-1.2694,0.736833,-0.559381,-0.645711,0.639916,0.82302,0.507098,0.904385,0.461667,-1.13519,0.962519,-1.24491,1.12471,-2.00197,-0.0345931,2
-0.812616,-0.0620998,0.457443,0.406694,-0.244757,-0.740993,-1.08947,0.828959,0.325148,0.522396,1.74221,-0.738394,0.491213,-1.5472,0.736146,0.67449,0.564611,0.595245,0.535686,-0.663235,-0.58432,-0.245237,-0.865305,-0.609198,0.64487,3
0.305533,-0.77557,1.1171,0.677713,0.621513,-0.968358,1.60408,1.5986,2.31118,0.224801,-0.547929,0.745276,-0.263844,-0.28765,-1.16689,1.3463,0.595717,0.92761,0.622753,-0.969861,1.08596,-0.803724,-1.62877,-1.59867,0.869971,3
-2.1151,0.271401,-0.129185,0.668173,-1.04638,0.815303,-0.557124,0.179902,0.803135,0.952959,-0.216746,1.81337,-0.417547,-0.903756,-0.202641,0.326131,1.13125,-0.69522,1.03138,-0.700195,-0.663694,0.746131,0.337536,0.600518,-1.47604,1
0.533791,-1.34334,-0.915919,0.69612,0.225167,-1.18878,-0.668866,-0.184932,-1.05695,0.638018,0.126355,-1.22201,0.640506,0.207793,0.830433,-0.0151958,-1.17057,0.344159,0.623745,0.636914,-0.688493,0.995685,1.10696,-0.235174,0.893313,0
-0.66513,0.122556,-0.347144,0.515818,-0.70178,0.421291,-0.0743393,-1.18626,0.676022,-0.438228,1.22937,1.07384,-1.13699,-1.3444,1.43569,-2.0157,0.26168,0.221528,0.413187,-1.42198,-1.47585,-0.519667,-0.492582,-0.804348,0.503002,2
-0.455669,-0.561538,-0.522792,0.720407,-0.64746,-0.136279,1.04906,0.601793,0.901735,0.480161,1.16694,0.528059,-0.740394,0.610587,-1.43929,0.228955,-0.952446,0.751512,-0.0163204,0.664641,-0.230213,1.61598,0.583214,0.309143,0.295543,0
-0.280911,-0.441677,0.245633,0.642662,-0.373712,0.888856,-0.450765,-0.507755,-0.419953,0.783897,0.814053,0.706788,-1.79635,0.274132,-0.49229,-0.382652,-0.381148,-1.04056,0.366467,-0.248523,-0.983112,-0.329567,1.0282,-0.143663,-1.22599,0
-0.520964,0.531166,-0.645942,0.55649,-0.434893,-0.6925,0.914419,-1.22369,0.0882299,-0.613813,-0.977162,-0.240437,0.951317,0.325411,0.660268,-1.24323,-0.868721,1.51263,0.982085,0.674256,-0.644293,0.437884,-0.102778,0.40697,0.798176,1
0.39732,1.28955,1.35836,-0.710813,0.995304,0.251993,-1.19466,0.190069,-0.41396,-0.748871,-0.779818,0.850255,0.593523,-0.0982239,1.06122,0.931219,-0.259691,0.702533,0.551091,-0.180524,0.685048,0.0472244,0.520661,-0.438283,-0.000336321,2
-1.41644,1.14962,-1.0921,1.38432,-0.778283,-0.389243,1.58682,0.921761,0.761231,1.08322,0.449362,-0.578682,-0.598033,-1.17611,-0.110726,-1.58649,1.24719,-1.06103,-1.28024,-1.1722,0.520049,-1.2706,-0.930002,0.617842,0.240921,3
-0.520922,-0.869259,-0.805649,0.543561,0.401088,0.268105,-0.303944,-0.389973,-0.874718,0.321672,-1.30493,-0.223444,-0.279944,0.12297,-1.24305,-0.912444,-0.663324,-1.09327,0.325871,1.28348,0.865976,0.296857,0.224377,0.534685,-0.223712,0
-0.268767,-0.433104,-0.8992,-0.962978,-0.977165,-1.27301,1.4153,0.601042,0.958092,0.494816,0.289797,-0.439142,0.263998,-0.466216,-0.844301,0.582448,0.140274,0.400922,0.373463,1.49922,0.475443,0.754334,-0.614523,0.358948,0.716804,1
-0.619216,0.421144,0.314067,0.485325,-0.500465,-0.519996,0.495987,0.50862,0.81604,-0.459139,-1.25389,0.788186,-0.70933,0.121732,-0.577403,1.30913,0.421498,-0.962552,1.08476,0.500512,-0.351224,0.516127,-1.52938,-0.284865,-0.559881,3
-1.07144,0.806238,-0.799021,0.390236,-0.61691,-1.67281,0.961846,0.613963,1.59499,0.540018,1.99835,1.22743,-0.687208,-0.213186,-0.923036,0.106619,0.995019,0.144326,1.56745,-0.685726,1.23507,-0.34547,0.539138,1.03201,-1.10104,1
0.514922,-0.505818,0.927769,-1.28744,0.440688,0.636216,-2.31369,0.469753,0.298017,0.978608,-1.33973,0.445545,0.466001,-0.720368,0.879856,-1.15717,0.603584,1.43262,-0.030944,0.579692,0.705126,0.311019,0.252809,-0.825756,1.02941,2
0.0847211,0.443988,-1.26996,0.832622,-1.31292,-1.09116,-0.133794,1.75949,1.40602,-0.654452,1.05007,-0.262183,0.0326046,0.692532,-1.8608,-0.0906106,-0.854739,0.840504,0.673614,-0.629029,0.547535,0.616179,-1.37934,1.02391,-0.45232,1
-1.14496,-0.480571,-0.341468,-0.463131,0.265621,-0.564384,0.183021,0.145042,0.376374,-0.0933459,-1.48622,-0.0563219,0.486683,0.164843,0.125195,1.15447,1.14672,-0.604175,0.571505,-0.542843,1.25908,-0.814758,0.466384,0.268736,-1.1074,0
-0.378707,0.413442,0.88069,-0.3454,0.498257,1.54971,-1.00798,-0.487004,-0.648886,0.687711,0.881878,-0.43401,0.792041,1.38537,0.594385,0.542266,0.586616,0.504076,0.566522,0.660527,1.1687,0.0662267,-0.294074,0.681892,-0.966678,1
0.568073,-2.09058,-0.371169,-1.52983,-0.472055,1.38289,1.23636,2.49927,2.54477,1.64938,-0.300845,1.9688,0.180531,1.82912,-0.459916,1.29903,0.0047225,1.3421,-0.41066,-0.637994,-0.52869,-0.77342,-0.954597,1.58312,-1.34327,3
-2.07858,-1.8211,-1.13899,-0.75993,1.54624,-1.88357,-0.64521,1.19583,1.25104,-1.79719,0.795206,0.968778,1.03167,-0.147613,-0.557533,1.23857,-0.0179982,-0.179995,0.804778,-0.307702,0.570236,-0.677496,-0.310265,-0.805913,-0.142988,3
-0.931726,0.57369,0.716431,-1.24388,-0.124243,-1.1267,1.25448,-1.9036,0.79969,0.980167,-0.766324,-0.861418,-0.821042,0.904078,0.281941,0.201336,-0.41701,1.29422,0.483415,0.891843,1.32457,-1.41877,-0.662324,-0.389431,-0.78057,1
-1.9169,-0.999867,-0.894065,0.788186,1.03519,-0.640387,0.822623,1.1011,0.251096,-1.54459,0.081425,-0.153358,1.6769,-0.72406,-0.508835,0.48912,0.50358,-0.154155,0.79699,0.918336,0.735208,-0.755076,-0.202846,-0.815085,0.778368,2
-0.743608,2.09245,1.25848,-0.0169744,1.07584,1.78728,0.589038,0.329474,1.22682,0.503023,0.335201,0.761612,-1.42477,1.16233,0.859912,-0.673692,0.685394,-0.635378,0.263808,-2.26137,0.336349,-0.602069,-0.224128,0.0495703,-1.5622,3
-1.87787,1.03799,2.22853,0.647028,1.89146,0.459751,0.707872,-1.39492,1.32538,1.49075,-0.0299979,0.0633687,-1.69462,1.08601,-0.278529,0.853456,1.47034,-0.680287,0.71065,-0.928226,0.185574,0.258143,-0.0169465,-2.32454,-0.772908,3
-0.30406,-0.126374,0.601357,-0.603702,1.21367,1.47411,-0.760521,-0.45479,-1.32673,0.565129,-0.142943,-1.97783,-0.256284,0.0477961,-0.155725,0.443259,-1.1676,-1.49173,0.3699,-1.3603,0.803686,-2.04021,-0.582807,0.449939,-1.89563,3
0.336714,0.203401,-0.0268998,1.27357,-0.911495,1.33247,-1.26413,0.663081,-0.539486,-1.14677,-0.863101,0.385531,-0.13452,2.00377,-0.457682,1.64312,1.41129,0.114421,1.21849,-1.1316,-1.71676,-0.659235,1.35257,1.23187,-2.28019,1
1.0135,0.117103,-0.983524,-0.284474,-1.63813,0.959529,0.526132,-1.18122,-0.755221,-0.703008,0.426194,-0.942547,0.142958,1.16494,-0.314341,-0.270345,-0.86164,-0.583902,0.95314,-0.863187,-0.809219,0.443574,0.542927,0.566085,-1.52734,1
-0.32804,-0.361817,-1.08802,-0.164488,-1.66115,-0.597108,2.26236,0.740578,1.44756,0.28882,-0.345005,0.135158,1.03399,-0.0372177,-1.41298,0.578546,0.620486,0.51245,-0.129763,-0.228042,0.180761,-0.913773,-1.2293,0.947004,-0.656725,1
-0.474868,-1.59987,-0.51368,-0.864117,-0.466165,0.821866,-0.214637,-0.626266,-0.162625,0.343223,-1.62115,0.289039,1.19547,-0.576576,-0.758379,0.17982,1.51906,-0.383576,0.424354,0.787179,1.45071,0.876644,0.98832,-0.227222,-0.0705785,3
-0.278816,0.0405206,0.282638,-0.475891,1.00536,-0.386168,-1.93926,0.777645,1.05572,-0.39513,-1.18036,1.54283,-0.582586,1.00139,0.0286624,-0.967501,1.11179,0.500554,-1.12418,-1.19674,-0.319258,0.895235,1.05888,-0.954985,0.410744,0
0.463323,-1.29558,-0.609343,0.120375,0.448926,-0.394661,0.370049,1.25544,0.675864,-0.0522672,-0.752272,1.18018,0.717957,0.592181,-1.26623,-1.10393,-0.723619,1.19647,0.444951,1.88207,0.0901373,-1.38691,0.0993857,0.421045,0.761112,2
0.717167,-0.212721,-1.61416,-1.07074,-0.564463,-0.613878,-0.117258,1.16834,1.14745,1.09586,0.79505,-1.6481,-2.40289,1.89963,0.586753,-0.797857,-0.279839,0.188423,-0.681125,0.23491,-0.467235,1.99607,0.207952,1.44394,0.193241,0
-0.732665,-0.758002,-0.867291,0.350263,1.06267,-0.812049,-0.968251,-2.21088,-1.83202,-2.09927,0.0982485,1.45675,0.808693,-2.14029,1.68318,-1.27971,-0.366061,-1.04279,-1.41934,-0.681121,-0.76058,0.499934,0.555457,0.602056,1.39264,2
0.452677,1.20012,0.568,-0.312536,-1.87891,0.780854,-1.35659,-0.00186911,0.234827,0.263985,-0.729786,-1.11904,0.884619,1.96166,0.452934,0.765212,1.02701,1.23873,1.19964,0.674817,0.315231,-0.681539,-1.34085,-0.548121,-1.28078,1
0.720775,1.71851,0.194904,-1.33589,-1.47776,-0.234683,-0.819471,-0.562076,0.862316,-1.57501,-0.127654,0.968016,-0.0456727,0.778253,-1.01091,-0.238778,-0.704467,0.91627,0.0443992,-0.78999,-0.970164,0.447958,-0.758718,-0.322885,-0.978229,1
-0.831378,0.88147,-0.0199238,0.869162,0.982442,-0.151573,1.73924,-1.68882,-0.706978,-0.648985,-0.0675113,1.29989,-1.30354,-1.13953,1.36369,-0.883996,-1.17097,-1.70002,-1.67784,-0.829183,0.0126561,0.293758,-1.343,0.59475,0.782428,2
-0.821098,0.251973,0.117192,1.40513,1.91135,-1.40955,-0.350732,0.246644,-0.742694,-0.412949,1.42085,-2.22761,-0.882191,0.160982,-1.13322,0.549337,1.09257,-1.61768,0.559016,0.725257,0.281758,-0.565015,-0.840265,-0.790589,0.721321,3
-0.704589,-1.55742,-1.13576,-0.771124,-0.781052,-1.34733,1.5442,-0.425746,1.44368,-1.23573,0.777699,0.681204,-1.38555,-0.70012,0.189806,-0.222962,1.40085,0.0479359,-1.27747,-0.872526,-0.0986235,-0.98567,0.968616,-1.40281,0.622671,2
-0.872519,-1.32014,-1.05439,0.560009,-1.38502,1.1351,1.30846,0.996474,1.72332,-2.18776,1.191,-0.156049,-1.1645,-1.15736,-0.540775,-0.628461,1.44412,1.83804,0.490098,-0.183216,1.02224,0.46882,-0.163412,-0.393751,1.20145,2
-1.05427,0.320547,0.354681,-0.807543,0.303769,0.976488,-0.77617,0.673494,0.191632,0.377858,-0.527191,-2.07816,0.753219,1.26508,0.243703,0.692607,-1.21736,0.960743,0.309405,-0.663901,-0.511884,-0.434761,-0.881026,-0.747884,-0.960098,2
0.0372979,-1.42177,-1.32179,1.5213,-0.799465,-1.15977,-0.678861,0.92018,-1.95355,-2.55093,-1.91068,-1.42642,1.53836,-2.1714,-2.27787,1.66627,-2.01088,-0.891012,1.11572,1.29618,-1.31564,-1.14085,-1.29527,1.02086,0.103071,3
-0.519136,0.774653,1.08439,-0.190272,-0.735454,0.949605,0.525903,-0.75723,0.472346,1.51574,0.763145,0.955033,-0.172444,-0.506437,-0.217366,0.394494,0.990894,-0.0753153,-0.353658,0.530675,0.262553,1.04265,-0.627598,0.129737,-0.1874,0
0.508883,-0.20929,0.41643,-0.986534,1.57017,0.862116,0.790079,1.43605,1.09516,-0.748828,-0.515819,-0.278429,-0.973494,0.630421,-1.39767,0.907625,0.212039,-0.935713,-0.93672,-1.63835,1.21054,-1.36481,-0.328719,0.717336,-1.16956,3
